,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
259,mishan,0,CN,1571687668,50,45.55,131.88,39.24,2.19
260,lerwick,75,GB,1571687669,81,60.15,-1.15,50.0,27.51
261,eutin,90,DE,1571687670,100,54.14,10.62,55.99,2.24
262,mayo,90,CA,1571687670,92,63.59,-135.9,30.2,3.44
263,milledgeville,40,US,1571687671,61,33.08,-83.23,82.99,7.74
264,adrar,0,DZ,1571687671,14,27.87,-0.29,84.2,9.17
265,port shepstone,93,CD,1571687672,75,-7.04,29.76,78.75,5.73
266,mao,78,DO,1571687673,62,19.55,-71.08,90.0,5.99
267,denpasar,20,ID,1571687674,100,-8.65,115.22,77.0,3.36
268,businga,100,CD,1571687674,99,3.34,20.89,69.1,0.54
269,kavaratti,100,IN,1571687675,89,10.57,72.64,79.12,24.4
270,chokurdakh,99,RU,1571687677,93,70.62,147.9,4.15,7.16
271,yulara,0,AU,1571687677,16,-25.24,130.99,64.4,6.93
272,leningradskiy,100,RU,1571687678,90,69.38,178.42,27.27,25.66
273,lompoc,1,US,1571687680,23,34.64,-120.46,88.0,5.82
274,pisco,16,PE,1571687681,30,-13.71,-76.2,71.6,11.41
275,tessalit,96,ML,1571687681,29,20.2,1.01,89.01,10.31
276,westport,40,US,1571687681,48,41.14,-73.36,68.0,9.17
277,severo-kurilsk,100,RU,1571687682,83,50.68,156.12,33.96,7.31
278,zhigalovo,64,RU,1571687682,96,54.81,105.15,18.59,2.44
279,tara,63,JP,1571687683,61,33.0,130.15,61.0,3.44
280,bosilegrad,0,RS,1571687684,58,42.5,22.47,54.12,3.96
281,bethel,90,US,1571687685,88,60.79,-161.76,32.0,12.75
282,bambous virieux,40,MU,1571687686,83,-20.26,57.41,75.2,11.41
283,navolato,20,MX,1571687686,52,24.76,-107.7,91.0,3.36
284,buala,0,SB,1571687687,80,-8.15,159.59,80.85,4.92
285,paita,0,PE,1571687687,100,-5.09,-81.11,62.6,13.87
286,tiszaalpar,11,HU,1571687688,77,46.81,20.0,62.6,2.24
287,mount pleasant,75,GB,1571687690,81,53.66,-1.85,48.99,3.36
288,arman,100,RU,1571687691,64,59.7,150.17,34.21,8.39
289,ancud,0,CL,1571687692,63,-41.87,-73.83,55.4,9.17
290,gewane,0,ET,1571687692,38,10.16,40.66,82.67,13.2
291,sabha,30,LY,1571687693,40,27.03,14.43,76.42,11.77
292,hameenlinna,90,FI,1571687693,94,61.0,24.46,37.99,3.36
293,cristalina,72,BR,1571687694,49,-16.77,-47.61,80.73,1.97
294,jacareacanga,90,BR,1571687695,100,-6.22,-57.76,73.4,4.7
295,merke,40,KZ,1571687695,65,42.87,73.19,38.41,3.58
296,poperinge,75,BE,1571687696,93,50.86,2.73,55.4,4.7
297,antigonish,1,CA,1571687697,50,45.62,-61.99,57.99,5.82
298,high level,1,US,1571687698,32,33.61,-95.75,73.4,9.17
299,kupang,67,ID,1571687699,73,-10.16,123.6,77.41,5.64
300,bilma,0,NE,1571687700,16,18.69,12.92,85.6,11.18
301,meulaboh,100,ID,1571687700,82,4.14,96.13,79.59,5.5
302,polunochnoye,100,RU,1571687700,93,60.87,60.43,35.6,12.95
303,kinablangan,36,PH,1571687701,90,7.69,126.55,72.43,2.91
304,dedougou,73,BF,1571687702,58,12.47,-3.47,83.41,10.67
305,tautira,75,PF,1571687703,74,-17.73,-149.15,82.4,6.93
306,doha,0,QA,1571687703,70,25.29,51.53,86.0,4.7
307,borogontsy,43,RU,1571687704,94,62.67,131.17,18.97,3.18
308,japura,100,ID,1571687704,93,-0.42,102.29,74.14,2.48
309,barra dos coqueiros,0,GM,1571687705,74,13.49,-16.54,84.2,5.82
310,orel-izumrud,0,RU,1571687705,87,43.46,39.92,59.0,6.71
311,pathein,54,MM,1571687706,83,16.78,94.73,81.07,5.73
312,manokwari,100,ID,1571687706,69,-0.87,134.08,74.1,5.26
313,mangaldai,40,IN,1571687706,94,26.43,92.03,75.2,1.74
314,poum,0,MK,1571687707,81,41.28,20.71,51.8,4.7
315,ishigaki,18,JP,1571687707,70,24.34,124.16,74.64,13.98
316,tangzhai,100,CN,1571687707,96,26.73,109.0,63.79,1.72
317,ahipara,6,NZ,1571687708,100,-35.17,173.16,57.0,21.63
318,jalu,0,LY,1571687708,67,29.03,21.55,70.9,10.47
319,mnogovershinnyy,100,RU,1571687708,90,53.94,139.92,36.01,12.57
320,hokitika,99,NZ,1571687709,67,-42.72,170.96,52.61,17.74
321,nanortalik,21,GL,1571687709,75,60.14,-45.24,38.12,6.53
322,helena,90,US,1571687709,45,46.59,-112.04,48.0,16.11
323,dingle,0,PH,1571687710,91,11.0,122.67,74.39,5.35
324,omsukchan,90,RU,1571687710,100,62.53,155.8,2.3,2.17
325,port hedland,93,CD,1571687710,75,-7.04,29.76,78.75,5.73
326,saint-pierre,33,FR,1571687711,93,48.95,4.24,53.6,5.82
327,elizabeth city,1,US,1571687711,32,40.66,-74.21,68.0,6.76
328,akureyri,90,IS,1571687711,96,65.68,-18.09,32.0,18.34
329,muisne,40,EC,1571687712,74,0.61,-80.02,84.2,11.41
330,banjar,90,ID,1571687712,93,-7.37,108.54,73.2,1.68
331,willowmore,37,ZA,1571687713,80,-33.3,23.49,42.85,5.88
332,chulman,100,RU,1571687713,96,56.84,124.9,25.0,5.14
333,fuyu,63,CN,1571687714,34,47.79,124.46,38.66,4.23
334,biak,48,ID,1571687714,77,-0.91,122.88,79.43,11.7
335,faya,0,SA,1571687715,88,18.39,42.45,62.6,6.93
336,kirovskiy,0,RU,1571687716,58,45.09,133.51,38.3,5.03
337,jinchang,0,CN,1571687716,35,38.52,102.19,42.26,2.46
338,botwood,90,CA,1571687716,87,49.14,-55.34,48.0,12.75
339,ulladulla,0,AU,1571687718,93,-35.36,150.48,51.01,8.05
340,miramar,75,CR,1571687720,88,10.09,-84.73,75.0,9.17
341,san patricio,8,ML,1571687720,47,13.3,-4.9,86.45,5.7
342,coahuayana,82,MX,1571687721,72,18.62,-100.35,82.56,2.33
343,faanui,35,PF,1571687721,70,-16.48,-151.75,80.67,6.85
344,mapastepec,57,MX,1571687721,76,15.44,-92.9,83.25,4.74
345,gallup,1,US,1571687723,14,35.53,-108.74,59.0,12.75
346,kizukuri,100,JP,1571687723,99,40.81,140.39,50.0,7.0
347,san rafael,8,ML,1571687723,47,13.3,-4.9,86.45,5.7
348,kaputa,100,ZM,1571687724,70,-8.47,29.66,69.94,2.55
349,sim,0,BR,1571687724,74,-12.25,-38.93,77.56,7.16
350,ternate,20,PH,1571687725,83,14.29,120.72,80.01,3.36
351,mapiripan,100,CO,1571687725,89,2.89,-72.13,80.15,3.13
352,bac lieu,49,RS,1571687726,72,45.39,19.24,62.01,5.82
353,wagar,100,US,1571687727,77,31.44,-87.99,81.0,5.21
354,sumbe,82,AO,1571687728,81,-11.2,13.84,75.47,5.73
355,lock haven,40,US,1571687728,56,40.27,-82.61,73.99,11.41
356,kalabo,18,ZM,1571687729,23,-15.0,22.67,78.58,4.36
357,cabedelo,40,BR,1571687730,65,-6.97,-34.84,82.4,11.41
358,melo,84,UY,1571687730,89,-32.37,-54.17,55.74,8.43
359,marystown,0,CA,1571687731,2,47.17,-55.16,48.99,5.01
360,ostrovnoy,100,RU,1571687731,97,68.05,39.51,18.84,6.08
361,san buenaventura,8,ML,1571687731,47,13.3,-4.9,86.45,5.7
362,havre-saint-pierre,40,CA,1571687732,70,50.23,-63.6,42.8,5.82
363,puerto madryn,20,AR,1571687733,20,-51.62,-69.23,64.4,14.99
364,nicoya,75,CR,1571687734,83,10.15,-85.45,78.8,8.05
365,yamandu,100,SL,1571687734,97,7.94,-11.49,74.35,2.26
366,vao,83,EE,1571687735,91,59.1,26.19,41.79,5.06
367,iranshahr,0,IR,1571687736,26,27.21,60.69,78.8,11.74
368,sao gabriel da cachoeira,92,IN,1571687737,92,20.51,76.21,68.5,4.52
369,lazaro cardenas,5,MX,1571687737,15,29.05,-111.04,93.0,4.7
370,nador,20,MA,1571687737,87,35.17,-2.93,60.8,4.7
371,virginia beach,40,US,1571687738,45,39.95,-90.21,64.99,19.46
372,san cristobal,8,ML,1571687738,47,13.3,-4.9,86.45,5.7
373,shimanovsk,67,RU,1571687739,76,52.0,127.67,30.4,4.18
374,molde,100,NO,1571687740,81,62.74,7.16,44.6,4.7
375,ouegoa,100,NC,1571687740,67,-20.34,164.44,74.01,5.1
376,palmerston,78,AU,1571687741,78,-12.49,130.99,79.0,4.7
377,peci,1,BA,1571687741,82,44.63,16.79,57.2,4.7
378,batagay-alyta,12,RU,1571687742,73,67.8,130.41,7.79,4.0
379,rocha,100,UY,1571687742,94,-34.48,-54.34,50.85,1.79
380,semnan,40,IR,1571687742,36,35.58,53.39,64.4,4.7
381,kasongo-lunda,100,CD,1571687743,97,-6.48,16.82,69.4,3.29
382,bhadrak,100,IN,1571687744,87,21.06,86.51,75.76,2.55
383,pochutla,20,MX,1571687744,66,15.74,-96.47,88.0,9.17
384,aripuana,100,BR,1571687745,68,-9.17,-60.63,82.11,2.53
385,qaqortoq,20,GL,1571687746,60,60.72,-46.03,39.2,3.36
386,dali,81,CN,1571687747,68,34.79,109.94,57.16,9.6
387,beloha,0,MG,1571687747,53,-25.17,45.06,73.04,2.33
388,portland,1,US,1571687482,55,43.66,-70.25,64.99,10.29
389,nokaneng,30,BW,1571687748,11,-19.66,22.19,81.03,2.82
390,kondinskoye,100,RU,1571687749,95,59.65,67.41,32.31,8.52
391,mahanoro,0,MG,1571687749,82,-19.9,48.8,76.05,16.75
392,kiunga,99,PG,1571687750,98,-6.12,141.3,71.83,1.48
393,tiznit,67,MA,1571687750,81,29.7,-9.73,53.24,9.64
394,troitskoye,0,RU,1571687751,93,52.98,84.68,16.02,4.34
395,ipswich,40,AU,1571687752,87,-27.62,152.76,61.0,5.59
396,red wing,100,TJ,1571687752,45,37.97,71.73,30.92,4.68
397,san ignacio,8,ML,1571687753,47,13.3,-4.9,86.45,5.7
398,turukhansk,81,RU,1571687753,97,65.8,87.96,18.54,1.61
399,foso,100,GH,1571687753,95,5.7,-1.29,73.15,2.93
400,barras,57,BR,1571687754,74,-4.24,-42.29,79.2,9.48
401,natal,75,BR,1571687755,66,-5.81,-35.21,84.2,12.75
402,tashtyp,10,RU,1571687755,92,52.8,89.89,6.22,5.08
403,corum,0,TR,1571687756,83,38.8,29.89,49.1,3.71
404,sarankhola,2,BD,1571687756,82,22.31,89.79,76.19,1.01
405,mangrol,34,IN,1571687756,43,25.33,76.51,71.06,2.51
406,noumea,100,NC,1571687757,83,-22.28,166.46,75.99,2.24
407,sao filipe,92,IN,1571687758,92,20.51,76.21,68.5,4.52
408,oruro,0,BO,1571687759,10,-17.97,-67.11,60.71,7.29
409,nokha,0,IN,1571687759,23,27.56,73.47,76.3,5.95
410,gornopravdinsk,100,RU,1571687760,96,60.06,69.92,29.8,5.55
411,spassk-ryazanskiy,100,RU,1571687761,61,54.41,40.38,57.99,4.0
412,terrace,90,CA,1571687761,93,54.52,-128.61,42.8,13.87
413,kohima,21,IN,1571687762,98,25.66,94.1,54.93,0.89
414,kendari,9,ID,1571687762,97,-3.99,122.52,68.67,2.42
415,mercedes,7,UY,1571687763,58,-33.25,-58.03,64.99,8.01
416,nguruka,76,TZ,1571687763,83,-5.11,31.04,70.63,5.03
417,yarada,75,IN,1571687764,94,17.65,83.27,80.6,2.24
418,coihaique,20,CL,1571687764,57,-45.58,-72.07,55.4,6.93
419,sabang,1,PH,1571687765,93,13.8,121.11,77.0,3.29
420,carutapera,100,BR,1571687765,77,-1.2,-46.02,81.9,11.16
421,nantucket,75,US,1571687765,72,41.28,-70.1,60.8,20.8
422,luderitz,0,NA,1571687766,59,-26.65,15.16,62.6,16.11
423,hamilton,75,CA,1571687766,87,43.26,-79.87,62.01,16.11
424,nuevo progreso,75,AR,1571687767,60,-27.5,-58.79,69.8,10.29
425,acapulco,40,MX,1571687769,74,16.86,-99.88,86.0,6.93
426,gravdal,75,NO,1571687770,66,59.79,5.78,50.0,14.99
427,anadyr,100,RU,1571687770,92,64.73,177.51,19.4,8.95
428,burns lake,1,US,1571687771,43,43.59,-119.05,55.4,12.75
429,kenai,90,US,1571687771,93,60.55,-151.26,41.0,3.36
430,talnakh,75,RU,1571687772,85,69.49,88.39,19.4,13.42
431,mokhsogollokh,70,RU,1571687772,94,61.4,128.95,20.32,3.27
432,necochea,58,AR,1571687773,85,-38.55,-58.74,57.99,4.0
433,batticaloa,100,LK,1571687774,93,7.71,81.69,74.28,2.46
434,ola,99,RU,1571687774,62,59.58,151.3,30.38,6.46
435,mahibadhoo,99,MV,1571687775,76,3.78,72.97,82.49,13.18
436,parrita,75,CR,1571687776,93,9.52,-84.33,73.4,6.69
437,kununurra,51,AU,1571687776,53,-15.77,128.74,73.4,5.82
438,moose factory,75,US,1571687777,69,43.66,-110.72,39.0,3.36
439,diffa,81,NE,1571687778,34,13.32,12.61,91.6,6.6
440,annonay,75,FR,1571687779,100,45.24,4.67,54.0,3.36
441,edeleny,0,HU,1571687779,87,48.3,20.73,55.99,1.12
442,lahaina,40,US,1571687781,61,20.87,-156.68,86.0,8.05
443,eldorado,100,BR,1571687781,97,-24.52,-48.11,63.19,1.25
444,esperance,90,AU,1571687782,100,-33.86,121.89,51.8,2.13
445,marzuq,0,YE,1571687782,49,14.4,46.47,69.4,3.31
446,sisimiut,39,GL,1571687783,59,66.94,-53.67,21.15,8.66
447,wattegama,100,LK,1571687783,97,7.35,80.68,70.07,3.02
448,kaeo,1,NZ,1571687783,100,-35.1,173.78,57.99,16.67
449,tongchuan,90,CN,1571687784,100,34.9,108.95,55.4,2.24
450,yerbogachen,100,RU,1571687785,79,61.28,108.01,18.66,5.75
451,ilorin,70,NG,1571687786,83,8.5,4.55,78.8,5.82
452,kota kinabalu,100,IN,1571687786,43,25.17,75.86,71.78,4.45
453,fairbanks,40,US,1571687787,92,64.84,-147.72,33.01,2.24
454,vila franca do campo,75,IT,1571687787,100,45.18,8.4,64.4,5.82
455,karoi,79,ZW,1571687788,28,-16.82,29.68,77.18,6.02
456,cockburn harbour,41,AU,1571687788,31,-32.08,141.0,60.8,3.36
457,sinjar,13,SY,1571687789,55,35.59,37.0,67.6,3.67
458,pindushi,78,RU,1571687789,92,62.92,34.58,28.98,4.92
459,gualeguay,21,AR,1571687790,62,-33.15,-59.31,69.04,4.81
460,cap malheureux,96,FR,1571687790,100,49.27,-1.21,54.0,1.12
461,ilo,16,PE,1571687791,72,-17.65,-71.34,68.0,9.17
462,lumberton,1,US,1571687791,78,30.27,-94.2,73.99,8.05
463,nacala,40,MZ,1571687791,78,-14.56,40.69,78.8,13.87
464,mineiros,38,BR,1571687792,66,-17.57,-52.55,77.74,13.0
465,winneba,20,GH,1571687792,88,5.35,-0.62,78.8,8.05
466,muroto,42,JP,1571687793,84,33.37,134.14,60.22,6.33
467,cabra,0,ES,1571687794,67,37.47,-4.43,57.2,2.24
468,berlevag,40,NO,1571687794,80,70.86,29.09,30.2,21.92
469,ajdabiya,0,LY,1571687794,70,30.75,20.22,71.65,13.53
470,saryozek,0,KZ,1571687795,88,44.36,77.98,25.7,1.41
471,suoyarvi,67,RU,1571687795,94,62.08,32.35,31.28,4.18
472,codajas,96,BR,1571687795,58,-3.84,-62.06,88.27,1.36
473,menongue,75,AO,1571687796,27,-14.66,17.68,70.48,4.63
474,luanda,20,AO,1571687796,78,-8.83,13.24,78.8,9.17
475,kulhudhuffushi,100,MV,1571687797,78,6.62,73.07,81.73,11.41
476,santiago del estero,85,PH,1571687798,98,16.69,121.54,71.24,0.65
477,freetown,75,BS,1571687798,74,26.61,-78.36,87.8,8.05
478,half moon bay,40,LR,1571687799,94,6.38,-10.7,78.8,2.84
479,san pedro,8,ML,1571687800,47,13.3,-4.9,86.45,5.7
480,okhotsk,100,RU,1571687800,82,59.36,143.24,27.41,11.48
481,deputatskiy,100,RU,1571687801,86,69.3,139.9,7.34,1.92
482,oranjemund,0,ZA,1571687801,76,-28.55,16.43,56.35,18.01
483,dawei,74,MM,1571687802,77,14.07,98.19,80.8,6.62
484,evensk,0,RU,1571687803,66,61.92,159.24,14.76,9.55
485,anito,100,PH,1571687803,66,12.45,125.29,84.2,2.84
486,davidson,64,CA,1571687804,49,51.26,-105.98,50.0,1.01
487,urdoma,100,RU,1571687804,82,61.74,48.55,36.64,16.84
488,saldanha,61,PT,1571687804,75,41.42,-6.55,48.79,3.67
489,yar-sale,17,RU,1571687805,89,66.83,70.83,19.06,9.6
490,chongwe,55,ZM,1571687805,25,-15.33,28.68,73.67,3.74
491,constantine,40,DZ,1571687806,72,36.36,6.61,68.0,2.24
492,port washington,93,CD,1571687806,75,-7.04,29.76,78.75,5.73
493,auka,75,HN,1571687807,70,14.93,-83.83,86.0,9.17
494,chachapoyas,89,PE,1571687808,91,-6.23,-77.87,61.74,3.96
495,constitucion,75,MX,1571687808,69,23.99,-104.67,73.4,4.7
496,leninskoye,46,RU,1571687808,79,54.82,82.85,19.4,11.18
497,nouakchott,0,MR,1571687809,78,18.08,-15.98,77.0,17.22
498,zhangye,0,CN,1571687809,30,38.94,100.46,48.02,4.23
499,senneterre,90,CA,1571687810,87,48.39,-77.24,46.4,8.05
500,hearst,100,CA,1571687810,77,49.69,-83.67,49.82,11.21
501,weligama,100,LK,1571687811,94,5.97,80.42,73.11,5.61
502,makakilo city,75,US,1571687811,78,21.35,-158.09,87.01,9.17
503,tairua,58,NZ,1571687811,82,-37.02,175.85,57.0,15.01
504,bria,100,CF,1571687812,98,6.54,21.99,67.53,2.33
505,cerro de pasco,20,BR,1571687812,77,-27.07,-48.71,69.8,3.36
506,paraiso,20,BR,1571687813,50,-0.03,-51.17,95.0,8.05
507,celendin,75,PE,1571687813,55,-6.87,-78.15,66.2,3.36
508,nhulunbuy,7,AU,1571687814,88,-12.18,136.78,75.2,5.82
509,zacatepec,73,MX,1571687814,80,20.06,-98.01,67.8,5.55
510,mamallapuram,75,IN,1571687815,100,12.63,80.17,78.01,3.36
511,chabahar,0,IR,1571687815,83,25.29,60.65,80.6,2.48
512,bako,100,BF,1571687815,56,12.29,-0.73,83.98,10.02
513,northam,40,AU,1571687815,93,-31.65,116.67,48.2,3.36
514,saint-joseph,100,FR,1571687816,93,43.56,6.97,66.2,2.24
515,itoman,75,JP,1571687816,94,26.12,127.67,75.2,5.82
516,vanimo,100,PG,1571687817,78,-2.67,141.3,81.73,12.17
517,sitka,0,US,1571687817,21,37.17,-99.65,63.0,30.0
